year,country_name,country_code,GPCP,RainfallGrowth,LaggedRainfallGrowth,war_prio,InternalConflict,pop,lpopl1,Mountains,lmtnest,Oil,EthnicFrac,ReligiousFrac,Democracy,GDPGrowth,LaggedGDPGrowth,InitialGDP,polity2l_6,LaggedInternalConflict
1994,Mali,MLI,471.2590637207031,0.4597853720188141,-0.08424985408782959,0,1,9449.7099609375,9.126681327819824,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,7,-0.015520726330578327,-0.04595135524868965,0.5509999990463257,1,0
1995,Mali,MLI,354.662841796875,-0.24741427600383759,0.4597853720188141,0,0,9705,9.153738975524902,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,7,0.03768278658390045,-0.015520726330578327,0.5509999990463257,1,1
1996,Mali,MLI,327.5232238769531,-0.07652230560779572,-0.24741427600383759,0,0,9993.349609375,9.18039608001709,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,7,0.00880318321287632,0.03768278658390045,0.5509999990463257,1,0
1997,Mali,MLI,317.2336120605469,-0.03141643479466438,-0.07652230560779572,0,0,10290.259765625,9.209674835205078,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,7,0.04340673238039017,0.00880318321287632,0.5509999990463257,1,0
1998,Mali,MLI,390.5058288574219,0.23097242414951324,-0.03141643479466438,0,0,10596,9.23895263671875,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,6,0.010248762555420399,0.04340673238039017,0.5509999990463257,1,0
1999,Mali,MLI,430.0113220214844,0.10116492211818695,0.23097242414951324,0,0,NA,9.268231391906738,0.4000000059604645,0.3364722430706024,0,0.7783107161521912,0.1818000078201294,6,0.030628163367509842,0.010248762555420399,0.5509999990463257,1,0
1981,Senegal,SEN,604.0640869140625,0.21750767529010773,-0.1695128083229065,0,0,5695,8.619388580322266,0,0,1,0.7227722406387329,0.14960002899169922,-2,0.004409272223711014,-0.03407161682844162,1.1740000247955322,0,NA
1982,Senegal,SEN,551.07818603515625,-0.08771569281816483,0.21750767529010773,0,0,5855,8.647343635559082,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.05618954077363014,0.004409272223711014,1.1740000247955322,0,0
1983,Senegal,SEN,412.5081787109375,-0.2514525353908539,-0.08771569281816483,0,0,6019,8.67505168914795,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.012468816712498665,0.05618954077363014,1.1740000247955322,0,0
1984,Senegal,SEN,480.26727294921875,0.16426120698451996,-0.2514525353908539,0,0,6192,8.702676773071289,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.0513467937707901,-0.012468816712498665,1.1740000247955322,0,0
1985,Senegal,SEN,543.0819091796875,0.13079099357128143,0.16426120698451996,0,0,6375,8.731013298034668,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.031943224370479584,-0.0513467937707901,1.1740000247955322,0,0
1986,Senegal,SEN,644.02581787109375,0.18587234616279602,0.13079099357128143,0,0,6565,8.760139465332031,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.0068787760101258755,0.031943224370479584,1.1740000247955322,0,0
1987,Senegal,SEN,657.86395263671875,0.021486924961209297,0.18587234616279602,0,0,6762,8.789507865905762,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.013852842152118683,-0.0068787760101258755,1.1740000247955322,0,0
1988,Senegal,SEN,764.80657958984375,0.16256040334701538,0.021486924961209297,0,0,6968,8.819073677062988,0,0,0,0.7227722406387329,0.14960002899169922,-1,8.540108683519065e-4,0.013852842152118683,1.1740000247955322,0,0
1989,Senegal,SEN,720.7750244140625,-0.0575721450150013,0.16256040334701538,0,0,7182,8.84908390045166,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.028156988322734833,8.540108683519065e-4,1.1740000247955322,0,0
1990,Senegal,SEN,512.033447265625,-0.28960710763931274,-0.0575721450150013,0,1,7404,8.87933349609375,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.005267710890620947,-0.028156988322734833,1.1740000247955322,0,0
1991,Senegal,SEN,527.978759765625,0.03114115446805954,-0.28960710763931274,0,0,7625,8.909775733947754,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.02183404006063938,0.005267710890620947,1.1740000247955322,0,1
1992,Senegal,SEN,549.37432861328125,0.04052354022860527,0.03114115446805954,0,1,7740,8.939188003540039,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.0033008200116455555,-0.02183404006063938,1.1740000247955322,0,0
1993,Senegal,SEN,609.47235107421875,0.10939357429742813,0.04052354022860527,0,1,7901.2998046875,8.954156875610352,0,0,0,0.7227722406387329,0.14960002899169922,-1,-0.04725056514143944,-0.0033008200116455555,1.1740000247955322,0,1
1994,Senegal,SEN,694.6993408203125,0.1398373395204544,0.10939357429742813,0,0,8112.31005859375,8.974782943725586,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.002575503895059228,-0.04725056514143944,1.1740000247955322,0,1
1995,Senegal,SEN,602.0810546875,-0.1333213895559311,0.1398373395204544,0,1,8330,9.001137733459473,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.024368347600102425,0.002575503895059228,1.1740000247955322,0,0
1996,Senegal,SEN,595.551025390625,-0.01084576454013586,-0.1333213895559311,0,0,8555.6103515625,9.027618408203125,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.023089267313480377,0.024368347600102425,1.1740000247955322,0,1
1997,Senegal,SEN,542.00274658203125,-0.08991383761167526,-0.01084576454013586,0,1,8790.3798828125,9.054342269897461,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.0217233058065176,0.023089267313480377,1.1740000247955322,0,0
1998,Senegal,SEN,560.69635009765625,0.03448987007141113,-0.08991383761167526,1,1,9032.4599609375,9.081413269042969,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.028686705976724625,0.0217233058065176,1.1740000247955322,0,1
1999,Senegal,SEN,683.46142578125,0.21895109117031097,0.03448987007141113,0,1,NA,9.108579635620117,0,0,0,0.7227722406387329,0.14960002899169922,-1,0.022968197241425514,0.028686705976724625,1.1740000247955322,0,1
1981,Benin,BEN,897.63299560546875,-0.031209763139486313,-0.08152759075164795,0,0,3568,8.150178909301758,0,0,0,0.6181775331497192,0.4649999737739563,-7,0.05655303969979286,0.05492421239614487,1.055999994277954,0,NA
1982,Benin,BEN,931.98828125,0.038273196667432785,-0.031209763139486313,0,0,3678,8.179760932922363,0,0,0,0.6181775331497192,0.4649999737739563,-7,-0.1350892335176468,0.05655303969979286,1.055999994277954,0,0
